Rank;Polish;Croatian;PartOfSpeech;Grammar;ExampleCroatian;ExamplePolish;FalseFriend;FalseFriendNote;Tags;AcceptedAnswers
2943;jakość produktu;kvaliteta proizvoda;phrase;patrz kvaliteta;Kvaliteta proizvoda je visoka.;Jakość produktu jest wysoka.;NO;;HR_2501_3000 phrase shopping;[]
2944;cena hurtowa;veleprodajna cijena;phrase;;Veleprodajna cijena je niža.;Cena hurtowa jest niższa.;NO;;HR_2501_3000 phrase shopping;[]
2945;cena detaliczna;maloprodajna cijena;phrase;;Maloprodajna cijena raste.;Cena detaliczna rośnie.;NO;;HR_2501_3000 phrase shopping;[]
2946;hurtownia;veleprodaja;noun;rodzaj żeński;Veleprodaja radi za tvrtke.;Hurtownia obsługuje firmy.;NO;;HR_2501_3000 noun work;[]
2947;magazyn (rzeczy);skladište;noun;rodzaj nijaki;Skladište je puno.;Magazyn jest pełny.;NO;;HR_2501_3000 noun work;[]
2948;transport;transport;noun;rodzaj męski - też: prijevoz;Transport robe.;Transport towarów.;NO;;HR_2501_3000 noun transportation work;"[""prijevoz""]"
2949;spedycja;špedicija;noun;rodzaj żeński;Špedicija dostavlja pakete.;Spedycja dostarcza paczki.;NO;;HR_2501_3000 noun work;[]
2950;kurier;kurir;noun;rodzaj męski;Kurir dolazi popodne.;Kurier przychodzi po południu.;NO;;HR_2501_3000 noun people work;[]
2951;doręczenie;isporuka;noun;rodzaj żeński;Isporuka je danas.;Doręczenie jest dzisiaj.;NO;;HR_2501_3000 noun;[]
2952;konstytucja;ustav;noun;rodzaj męski;Ustav je temelj.;Konstytucja jest fundamentem.;NO;;HR_2501_3000 noun;[]
2953;wyrok;presuda;noun;rodzaj żeński;Presuda je pravomoćna.;Wyrok jest prawomocny.;NO;;HR_2501_3000 noun;[]
2954;więzienie;zatvor;noun;rodzaj męski;Zatvor je za teške zločine.;Więzienie jest za ciężkie przestępstwa.;NO;;HR_2501_3000 noun;[]
2955;przestępstwo;zločin;noun;rodzaj męski;Zločin je kažnjiv.;Przestępstwo jest karalne.;NO;;HR_2501_3000 noun;[]
2956;wykroczenie;prekršaj;noun;rodzaj męski;Prekršaj je manji od zločina.;Wykroczenie jest mniejsze od przestępstwa.;NO;;HR_2501_3000 noun;[]
2957;złodziej;lopov;noun;rodzaj męski;Lopov je uhvaćen.;Złodziej jest złapany.;NO;;HR_2501_3000 noun people;[]
2958;oszust;prevarant;noun;rodzaj męski;Prevarant obmanjuje ljude.;Oszust oszukuje ludzi.;NO;;HR_2501_3000 noun people;[]
2959;oszustwo;prijevara;noun;rodzaj żeński;Prijevara na internetu.;Oszustwo w internecie.;NO;;HR_2501_3000 noun;[]
2960;monitoring;video nadzor;phrase;;Video nadzor je aktivan.;Monitoring jest aktywny.;NO;;HR_2501_3000 phrase;[]
2961;kamera monitoringu;sigurnosna kamera;phrase;;Sigurnosna kamera snima.;Kamera monitoringu nagrywa.;NO;;HR_2501_3000 phrase;[]
2962;kod dostępu;pristupna šifra;phrase;wyrażenie rzeczownikowe;Pristupna šifra je nova.;Hasło dostępu jest nowe.;NO;;HR_2501_3000 phrase media;"[""lozinka""]"
2963;kod PIN;PIN kod;phrase;;PIN kod za karticu.;Kod PIN do karty.;NO;;HR_2501_3000 phrase;[]
2964;identyfikacja;identifikacija;noun;rodzaj żeński;Identifikacija je potrebna.;Identyfikacja jest potrzebna.;NO;;HR_2501_3000 noun;[]
2965;wiza turystyczna;turistička viza;phrase;;Turistička viza vrijedi mjesec.;Wiza turystyczna obowiązuje miesiąc.;NO;;HR_2501_3000 phrase travel;[]
2966;wiza studencka;studentska viza;phrase;;Studentska viza za četiri godine.;Wiza studencka na cztery lata.;NO;;HR_2501_3000 phrase;[]
2967;pozwolenie na pracę;radna dozvola;phrase;;Radna dozvola je izdana.;Pozwolenie na pracę wydane.;NO;;HR_2501_3000 phrase work;[]
2968;obywatelstwo;državljanstvo;noun;rodzaj nijaki;Državljanstvo se dobiva.;Obywatelstwo się uzyskuje.;NO;;HR_2501_3000 noun;[]
2969;imigrant;imigrant;noun;rodzaj męski;Imigrant traži posao.;Imigrant szuka pracy.;NO;;HR_2501_3000 noun people work;[]
2970;uchodźca;izbjeglica;noun;rodzaj męski/żeński;Izbjeglica traži zaštitu.;Uchodźca szuka ochrony.;NO;;HR_2501_3000 noun people;[]
2971;ambasada;veleposlanstvo;noun;rodzaj nijaki;Veleposlanstvo je zatvoreno.;Ambasada jest zamknięta.;NO;;HR_2501_3000 noun;[]
2972;konsulat;konzulat;noun;rodzaj męski;Konzulat izdaje dokumente.;Konsulat wydaje dokumenty.;NO;;HR_2501_3000 noun;[]
2973;miejsce stałego zamieszkania;prebivalište;noun;rodzaj nijaki;Prebivalište je u Zagrebu.;Miejsce stałego zamieszkania znajduje się w Zagrzebiu.;NO;;HR_2501_3000 noun;[]
2974;adres zameldowania;adresa prebivališta;phrase;;Adresa prebivališta se mijenja.;Adres zamieszkania się zmienia.;NO;;HR_2501_3000 phrase;[]
2975;meldunek;prijava boravišta;phrase;;Prijava boravišta u policiji.;Meldunek na policji.;NO;;HR_2501_3000 phrase;[]
2976;złożyć wniosek;podnijeti zahtjev;phrase;;Podnesi zahtjev do petka.;Złóż wniosek do piątku.;NO;;HR_2501_3000 phrase;[]
2977;administracja;administracija;noun;rodzaj żeński;Administracija je spora.;Administracja jest wolna.;NO;;HR_2501_3000 noun;[]
2978;urzędnik;službenik;noun;rodzaj męski;Službenik pomaže s papirologijom.;Urzędnik pomaga z dokumentami.;NO;;HR_2501_3000 noun people work;[]
2979;papierologia;papirologija;noun;rodzaj żeński;Papirologija je zamorna.;Papierologia jest męcząca.;NO;;HR_2501_3000 noun work;[]
2980;biurokracja;birokracija;noun;rodzaj żeński;Birokracija usporava.;Biurokracja spowalnia.;NO;;HR_2501_3000 noun;[]
2981;użytkownik (usługi);korisnik;noun;rodzaj męski;Korisnik je zadovoljan.;Użytkownik jest zadowolony.;NO;;HR_2501_3000 noun people work;[]
2982;konto (użytkownika);korisnički račun;phrase;;Korisnički račun je aktivan.;Konto użytkownika jest aktywne.;NO;;HR_2501_3000 phrase media;[]
2983;profil (społeczny);profil;noun;rodzaj męski;Profil na Facebooku.;Profil na Facebooku.;NO;;HR_2501_3000 noun media;[]
2984;post (wpis);objava;noun;patrz objaviti - też: objava;Objava na Instagramu.;Post na Instagramie.;NO;;HR_2501_3000 noun media;[]
2985;lajk;lajk;noun;rodzaj męski;Lajk na fotografiji.;Lajk pod zdjęciem.;NO;;HR_2501_3000 noun media;[]
2986;udostępnianie;dijeljenje;noun;rodzaj nijaki;Dijeljenje sadržaja.;Udostępnianie treści.;NO;;HR_2501_3000 noun media;[]
2987;obserwujący;pratitelj;noun;rodzaj męski - mn. pratitelji;Pratitelji na Instagramu.;Obserwujący na Instagramie.;NO;;HR_2501_3000 noun media;[]
2988;influencer;influencer;noun;rodzaj męski;Influencer ima puno pratitelja.;Influencer ma wielu obserwujących.;NO;;HR_2501_3000 noun media;[]
2989;blog;blog;noun;rodzaj męski;Blog o putovanjima.;Blog podróżniczy.;NO;;HR_2501_3000 noun media travel;[]
2990;vlog (blog wideo);vlog;noun;rodzaj męski;Vlog na YouTubeu.;Vlog na YouTubie.;NO;;HR_2501_3000 noun media;[]
2991;podcast;podcast;noun;rodzaj męski;Podcast slušam u autu.;Podcastów słucham w samochodzie.;NO;;HR_2501_3000 noun media;[]
2992;transmisja na żywo;prijenos uživo;phrase;;Prijenos uživo utakmice.;Transmisja na żywo meczu.;NO;;HR_2501_3000 phrase media;[]
2993;streaming;streaming;noun;rodzaj męski;Streaming filmova.;Streaming filmów.;NO;;HR_2501_3000 noun media;[]
2994;e-mail (list);e-mail;noun;rodzaj męski - patrz mail;E-mail je stigao.;E-mail dotarł.;NO;;HR_2501_3000 noun work;[]
2995;spam;spam;noun;rodzaj męski;Spam u sandučiću.;Spam w skrzynce.;NO;;HR_2501_3000 noun media;[]
2996;wiadomość SMS;SMS poruka;phrase;;SMS poruka od banke.;SMS z banku.;NO;;HR_2501_3000 phrase;[]
2997;WhatsApp;WhatsApp;noun;rodzaj męski - marka;WhatsApp poruke.;Wiadomości WhatsApp.;NO;;HR_2501_3000 noun media;[]
2998;emotka;emoji;noun;rodzaj męski;Emoji na kraju poruke.;Emotka na końcu wiadomości.;NO;;HR_2501_3000 noun media;[]
2999;wideorozmowa;video poziv;phrase;;Video poziv preko Zooma.;Wideorozmowa przez Zoom.;NO;;HR_2501_3000 phrase media;[]
3000;rozmowa telefoniczna;telefonski poziv;phrase;patrz telefonski razgovor;Telefonski poziv iz banke.;Rozmowa telefoniczna z banku.;NO;;HR_2501_3000 phrase;[]
3001;nazywam się;zovem se;phrase;1. osoba liczby pojedynczej od zvati se. Po zwrocie podaj imię.;Zovem se Marko.;Nazywam się Marko.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""ja se zovem"", ""zovem se."", ""ja se zovem.""]"
3002;mam na imię;moje ime je;phrase;"Po zwrocie podaj imię; także: ime mi je.";Moje ime je Ana.;Mam na imię Ana.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""ime mi je"", ""moje ime je."", ""ime mi je.""]"
3003;jak masz na nazwisko;kako se prezivaš;phrase;;Kako se prezivaš?;Jak masz na nazwisko?;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""kako se prezivaš?""]"
3004;mam na nazwisko;prezivam se;phrase;Po zwrocie podaj nazwisko.;Prezivam se Kovač.;Mam na nazwisko Kovač.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""ja se prezivam"", ""prezivam se."", ""ja se prezivam.""]"
3005;na ty;na ti;phrase;;Možemo li biti na ti?;Czy możemy być na ty?;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""na ti?""]"
3006;na pan, pani;na vi;phrase;"Zwrot grzecznościowy; do jednej osoby formalnie często pisane Vi.";S njim sam na vi.;Zwracam się do niego per pan.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""na vi.""]"
3007;na czym stoimy;na čemu smo;phrase;;Na čemu smo.;Na czym stoimy.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""na čemu smo.""]"
3008;jak się masz;kako si;phrase;;Kako si?;Jak się masz?;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""kako si?""]"
3009;dobrze się czuję;dobro sam;phrase;;Dobro sam.;Dobrze się czuję.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""dobro sam.""]"
3010;a ty;a ti;phrase;;A ti?;A ty?;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""a ti?""]"
3011;nic nowego;ništa novo;phrase;;Ništa novo.;Nic nowego.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""ništa novo.""]"
3012;nie mogę narzekać;ne mogu se požaliti;phrase;;Ne mogu se požaliti.;Nie mogę narzekać.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""ne mogu se požaliti.""]"
3013;nie jest źle;nije loše;phrase;;Nije loše.;Nie jest źle.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""nije loše.""]"
3014;mogłoby być lepiej;moglo bi biti bolje;phrase;;Moglo bi biti bolje.;Mogłoby być lepiej.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""moglo bi biti bolje.""]"
3015;jak minął dzień;kako je prošao dan;phrase;;Kako je prošao dan?;Jak minął dzień?;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""kako je prošao dan?""]"
3016;co ostatnio porabiasz;što radiš ovih dana;phrase;;Što radiš ovih dana?;Co ostatnio porabiasz?;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""što radiš ovih dana?""]"
3017;czym się zajmujesz;čime se baviš;phrase;;Čime se baviš?;Czym się zajmujesz?;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""čime se baviš?""]"
3018;gdzie pracujesz;gdje radiš;phrase;;Gdje radiš?;Gdzie pracujesz?;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""gdje radiš?""]"
3019;gdzie mieszkasz;gdje živiš;phrase;;Gdje živiš?;Gdzie mieszkasz?;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""gdje živiš?""]"
3020;ile masz lat;koliko imaš godina;phrase;;Koliko imaš godina?;Ile masz lat?;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""koliko imaš godina?""]"
3021;jestem z Polski;iz Poljske sam;phrase;;Iz Poljske sam.;Jestem z Polski.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""iz Poljske sam.""]"
3022;mieszkam w Polsce;živim u Poljskoj;phrase;;Živim u Poljskoj.;Mieszkam w Polsce.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""živim u Poljskoj.""]"
3023;jestem tu pierwszy raz;prvi put sam ovdje;phrase;;Prvi put sam ovdje.;Jestem tu pierwszy raz.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""prvi put sam ovdje.""]"
3024;jestem tutaj na wakacjach;ovdje sam na odmoru;phrase;;Ovdje sam na odmoru.;Jestem tutaj na wakacjach.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""ovdje sam na odmoru.""]"
3025;jestem tutaj służbowo;ovdje sam poslovno;phrase;;Ovdje sam poslovno.;Jestem tutaj służbowo.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""ovdje sam poslovno.""]"
3026;podróżuję sam;putujem sam;phrase;;Putujem sam.;Podróżuję sam.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""putujem sam.""]"
3027;podróżuję z rodziną;putujem s obitelji;phrase;;Putujem s obitelji.;Podróżuję z rodziną.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""putujem s obitelji.""]"
3028;pochodzę z;dolazim iz;phrase;;Dolazim iz Krakova.;Pochodzę z Krakowa.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""dolazim iz.""]"
3029;urodziłem się w;rođen sam u;phrase;;Rođen sam u Zagrebu.;Urodziłem się w Zagrzebiu.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""rođen sam u.""]"
3030;mieszkam sam;živim sam;phrase;;Živim sam.;Mieszkam sam.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""živim sam.""]"
3031;mieszkam z rodzicami;živim s roditeljima;phrase;;Živim s roditeljima.;Mieszkam z rodzicami.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""živim s roditeljima.""]"
3032;mam brata;imam brata;phrase;;Imam brata.;Mam brata.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""imam brata.""]"
3033;jestem jedynakiem;jedinac sam;phrase;;Jedinac sam.;Jestem jedynakiem.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""jedinac sam.""]"
3034;jestem w związku małżeńskim;u braku sam;phrase;;U braku sam.;Jestem w związku małżeńskim.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""u braku sam.""]"
3035;nie jestem w związku małżeńskim;nisam u braku;phrase;;Nisam u braku.;Nie jestem w związku małżeńskim.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""nisam u braku.""]"
3036;mam dzieci;imam djecu;phrase;;Imam djecu.;Mam dzieci.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""imam djecu.""]"
3037;nie mam dzieci;nemam djece;phrase;;Nemam djece.;Nie mam dzieci.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""nemam djece.""]"
3038;pracuję zdalnie;radim na daljinu;phrase;;Radim na daljinu.;Pracuję zdalnie.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""radim na daljinu.""]"
3039;pracuję na własny rachunek;radim za sebe;phrase;;Radim za sebe.;Pracuję na własny rachunek.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""radim za sebe.""]"
3040;obecnie nie pracuję;trenutačno ne radim;phrase;;Trenutačno ne radim.;Obecnie nie pracuję.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""trenutačno ne radim.""]"
3041;uczę się chorwackiego;učim hrvatski;phrase;;Učim hrvatski.;Uczę się chorwackiego.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""učim hrvatski.""]"
3042;mówię trochę po chorwacku;govorim malo hrvatski;phrase;;Govorim malo hrvatski.;Mówię trochę po chorwacku.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""govorim malo hrvatski.""]"
3043;nie mówię po chorwacku;ne govorim hrvatski;phrase;;Ne govorim hrvatski.;Nie mówię po chorwacku.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""ne govorim hrvatski.""]"
3044;czy mówi pan/pani po angielsku;govorite li engleski;phrase;;Govorite li engleski?;Czy mówi pan/pani po angielsku?;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""govorite li engleski?""]"
3045;czy możemy rozmawiać po polsku;možemo li govoriti poljski;phrase;;Možemo li govoriti poljski?;Czy możemy rozmawiać po polsku?;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""možemo li govoriti poljski?""]"
3046;czy może pan/pani powtórzyć;možete li ponoviti;phrase;;Možete li ponoviti?;Czy może pan/pani powtórzyć?;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""možete li ponoviti?""]"
3047;proszę wolniej;molim vas, sporije;phrase;;Molim vas, sporije.;Proszę wolniej.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""molim vas, sporije."", ""molim vas sporije"", ""molim vas sporije.""]"
3048;nie dosłyszałem;nisam dobro čuo;phrase;;Nisam dobro čuo.;Nie dosłyszałem.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""nisam dobro čuo.""]"
3049;nie zrozumiałem dobrze;nisam dobro razumio;phrase;;Nisam dobro razumio.;Nie zrozumiałem dobrze.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""nisam dobro razumio.""]"
3050;jak to się mówi po chorwacku;kako se to kaže na hrvatskom;phrase;;Kako se to kaže na hrvatskom?;Jak to się mówi po chorwacku?;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""kako se to kaže na hrvatskom?""]"
3051;jak to się pisze;kako se to piše;phrase;;Kako se to piše?;Jak to się pisze?;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""kako se to piše?""]"
3052;czy może pan/pani to napisać;možete li to napisati;phrase;;Možete li to napisati?;Czy może pan/pani to napisać?;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""možete li to napisati?""]"
3053;czy może mi pan/pani wyjaśnić;možete li mi objasniti;phrase;;Možete li mi objasniti?;Czy może mi pan/pani wyjaśnić?;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""možete li mi objasniti?""]"
3054;nie znam tego słowa;ne znam tu riječ;phrase;;Ne znam tu riječ.;Nie znam tego słowa.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""ne znam tu riječ.""]"
3055;co powiedziałeś;što si rekao;phrase;;Što si rekao?;Co powiedziałeś?;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""što si rekao?""]"
3056;czy dobrze wymówiłem;jesam li dobro izgovorio;phrase;;Jesam li dobro izgovorio?;Czy dobrze wymówiłem?;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""jesam li dobro izgovorio?""]"
3057;popraw mnie, jeśli się pomylę;ispravi me ako pogriješim;phrase;;Ispravi me ako pogriješim.;Popraw mnie, jeśli się pomylę.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""ispravi me ako pogriješim.""]"
3058;spróbuję po chorwacku;pokušat ću na hrvatskom;phrase;;Pokušat ću na hrvatskom.;Spróbuję po chorwacku.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""pokušat ću na hrvatskom.""]"
3059;nadal się uczę;još uvijek učim;phrase;;Još uvijek učim.;Nadal się uczę.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""još uvijek učim.""]"
3060;zapomniałem słowa;zaboravio sam riječ;phrase;;Zaboravio sam riječ.;Zapomniałem słowa.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""zaboravio sam riječ.""]"
3061;rozumiem więcej, niż mówię;razumijem više nego što govorim;phrase;;Razumijem više nego što govorim.;Rozumiem więcej, niż mówię.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""razumijem više nego što govorim.""]"
3062;jak wymawia się twoje imię;kako se izgovara tvoje ime;phrase;;Kako se izgovara tvoje ime?;Jak wymawia się twoje imię?;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""kako se izgovara tvoje ime?""]"
3063;czy możesz podać mi przykład;možeš li mi dati primjer;phrase;;Možeš li mi dati primjer?;Czy możesz podać mi przykład?;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""možeš li mi dati primjer?""]"
3064;teraz rozumiem;sad mi je jasno;phrase;;Sad mi je jasno.;Teraz rozumiem.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""sad mi je jasno.""]"
3065;nie wiem, jak to wyjaśnić;ne znam kako to objasniti;phrase;;Ne znam kako to objasniti.;Nie wiem, jak to wyjaśnić.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""ne znam kako to objasniti.""]"
3066;chciałem powiedzieć;htio sam reći;phrase;;Htio sam reći nešto drugo.;Chciałem powiedzieć coś innego.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""htio sam reći.""]"
3067;mam na myśli;mislim na;phrase;;Mislim na ovu knjigu.;Mam na myśli tę książkę.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""mislim na.""]"
3068;nie uważam tak;ne mislim tako;phrase;;Ne mislim tako.;Nie uważam tak.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""ne mislim tako.""]"
3069;czy mnie rozumiesz;razumiješ li me;phrase;;Razumiješ li me?;Czy mnie rozumiesz?;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""razumiješ li me?""]"
3070;czy mnie słyszysz;čuješ li me;phrase;;Čuješ li me?;Czy mnie słyszysz?;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""čuješ li me?""]"
3071;czy mnie widzisz;vidiš li me;phrase;;Vidiš li me?;Czy mnie widzisz?;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""vidiš li me?""]"
3072;przepraszam, że przeszkadzam;oprosti što smetam;phrase;;Oprosti što smetam.;Przepraszam, że przeszkadzam.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""oprosti što smetam.""]"
3073;czy ma pan/pani chwilę;imate li trenutak;phrase;;Imate li trenutak?;Czy ma pan/pani chwilę?;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""imate li trenutak?""]"
3074;czy mogę o coś zapytać;mogu li nešto pitati;phrase;;Mogu li nešto pitati?;Czy mogę o coś zapytać?;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""mogu li nešto pitati?""]"
3075;czy mogę przejść;mogu li proći;phrase;;Mogu li proći?;Czy mogę przejść?;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""mogu li proći?""]"
3076;proszę, oto dla pana/pani;izvolite;phrase;;Izvolite vaš račun.;Proszę, oto pański rachunek.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""izvolite.""]"
3077;proszę, weź;izvoli;phrase;;Izvoli, ovo je za tebe.;Proszę, to dla ciebie.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""izvoli.""]"
3078;chwileczkę;samo trenutak;phrase;;Samo trenutak.;Chwileczkę.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""samo trenutak.""]"
3079;proszę chwilę zaczekać;pričekajte malo;phrase;;Pričekajte malo.;Proszę chwilę zaczekać.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""pričekajte malo.""]"
3080;bardzo dziękuję;hvala lijepa;phrase;;Hvala lijepa.;Bardzo dziękuję.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""hvala lijepa.""]"
3081;dziękuję za pomoc;hvala na pomoći;phrase;;Hvala na pomoći.;Dziękuję za pomoc.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""hvala na pomoći.""]"
3082;dziękuję za zaproszenie;hvala na pozivu;phrase;;Hvala na pozivu.;Dziękuję za zaproszenie.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""hvala na pozivu.""]"
3083;dziękuję za wszystko;hvala na svemu;phrase;;Hvala na svemu.;Dziękuję za wszystko.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""hvala na svemu.""]"
3084;z góry dziękuję;hvala unaprijed;phrase;;Hvala unaprijed.;Z góry dziękuję.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""hvala unaprijed.""]"
3085;wielkie dzięki;puno ti hvala;phrase;;Puno ti hvala.;Wielkie dzięki.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""puno ti hvala.""]"
3086;dziękuję z całego serca;od srca hvala;phrase;;Od srca hvala.;Dziękuję z całego serca.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""od srca hvala.""]"
3087;nie trzeba;ne treba;phrase;;Ne treba.;Nie trzeba.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""ne treba.""]"
3088;wszystko w porządku;u redu je;phrase;;U redu je.;Wszystko w porządku.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""u redu je.""]"
3089;przepraszam za przeszkadzanie;oprostite na smetnji;phrase;;Oprostite na smetnji.;Przepraszam za przeszkadzanie.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""oprostite na smetnji.""]"
3090;nie chciałem;nisam htio;phrase;;Nisam htio.;Nie chciałem.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""nisam htio.""]"
3091;nie zrobiłem tego celowo;nisam namjerno;phrase;;Nisam namjerno.;Nie zrobiłem tego celowo.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""nisam namjerno.""]"
3092;mój błąd;moja greška;phrase;;Moja greška.;Mój błąd.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""moja greška.""]"
3093;moja wina;moja krivnja;phrase;;Moja krivnja.;Moja wina.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""moja krivnja.""]"
3094;nie gniewaj się;nemoj se ljutiti;phrase;;Nemoj se ljutiti.;Nie gniewaj się.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""nemoj se ljutiti.""]"
3095;nie martw się;ne brini;phrase;;Ne brini.;Nie martw się.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""ne brini.""]"
3096;nic się nie stało;ništa se nije dogodilo;phrase;;Ništa se nije dogodilo.;Nic się nie stało.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""ništa se nije dogodilo.""]"
3097;wszystko jest w porządku;sve je u redu;phrase;;Sve je u redu.;Wszystko jest w porządku.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""sve je u redu.""]"
3098;nie szkodzi;nema veze;phrase;;Nema veze.;Nie szkodzi.;NO;;HR_3001_3500 phrase conversation podstawy uzupełnienie;"[""nema veze.""]"
