# phrase|conversation podstawy
zovem se|nazywam się|Zovem se Marko.|Nazywam się Marko.
poštanski sandučić|skrzynka pocztowa|To je poštanski sandučić.|To jest skrzynka pocztowa.
nadstrešnica|zadaszenie|To je nadstrešnica.|To jest zadaszenie.
oluk|rynna|To je oluk.|To jest rynna.
dimnjak|komin|To je dimnjak.|To jest komin.
crijep|dachówka|To je crijep.|To jest dachówka.
fasada|elewacja|To je fasada.|To jest elewacja.
toplinska izolacija|izolacja termiczna|To je toplinska izolacija.|To jest izolacja termiczna.
bojler|bojler|To je bojler.|To jest bojler.
radijator|grzejnik|To je radijator.|To jest grzejnik.
termostat|termostat|To je termostat.|To jest termostat.
ventilator|wentylator|To je ventilator.|To jest wentylator.
produžni kabel|przedłużacz|To je produžni kabel.|To jest przedłużacz.
razdjelnik|rozgałęźnik|To je razdjelnik.|To jest rozgałęźnik.
abažur|abażur|To je abažur.|To jest abażur.
luster|żyrandol|To je luster.|To jest żyrandol.
noćni ormarić|szafka nocna|To je noćni ormarić.|To jest szafka nocna.
komoda|komoda|To je komoda.|To jest komoda.
vješalica|wieszak|To je vješalica.|To jest wieszak.
naslonjač|fotel|To je naslonjač.|To jest fotel.
trosjed|kanapa trzyosobowa|To je trosjed.|To jest kanapa trzyosobowa.
madrac|materac|To je madrac.|To jest materac.
jastučnica|poszewka na poduszkę|To je jastučnica.|To jest poszewka na poduszkę.
navlaka|pokrowiec|To je navlaka.|To jest pokrowiec.
posteljina|pościel|To je posteljina.|To jest pościel.
pokrivač|okrycie do przykrywania się|To je pokrivač.|To jest okrycie do przykrywania się.
prekrivač|narzuta|To je prekrivač.|To jest narzuta.
stolnjak|obrus|To je stolnjak.|To jest obrus.
prostirka|mata|To je prostirka.|To jest mata.
podmetač|podkładka|To je podmetač.|To jest podkładka.
okvir|rama|To je okvir.|To jest rama.
vaza|wazon|To je vaza.|To jest wazon.
tegla|doniczka|To je tegla.|To jest doniczka.
posuda za cvijeće|pojemnik na kwiaty|To je posuda za cvijeće.|To jest pojemnik na kwiaty.
štipaljka|klamerka|To je štipaljka.|To jest klamerka.
uže za rublje|sznur na pranie|To je uže za rublje.|To jest sznur na pranie.
stalak za sušenje|suszarka stojąca na pranie|To je stalak za sušenje.|To jest suszarka stojąca na pranie.
košara za rublje|kosz na pranie|To je košara za rublje.|To jest kosz na pranie.
prašak za pranje|proszek do prania|To je prašak za pranje.|To jest proszek do prania.
omekšivač|płyn do płukania tkanin|To je omekšivač.|To jest płyn do płukania tkanin.
sredstvo za čišćenje|środek czyszczący|To je sredstvo za čišćenje.|To jest środek czyszczący.
spužva|gąbka|To je spužva.|To jest gąbka.
četka za ribanje|szczotka do szorowania|To je četka za ribanje.|To jest szczotka do szorowania.
lopatica za smeće|szufelka|To je lopatica za smeće.|To jest szufelka.
vreća za smeće|worek na śmieci|To je vreća za smeće.|To jest worek na śmieci.
kanta za recikliranje|pojemnik do segregacji odpadów|To je kanta za recikliranje.|To jest pojemnik do segregacji odpadów.
vodokotlić|spłuczka|To je vodokotlić.|To jest spłuczka.
odvod|odpływ|To je odvod.|To jest odpływ.
čep|korek, zatyczka|To je čep.|To jest korek.
sifon|syfon|To je sifon.|To jest syfon.
tuš-kabina|kabina prysznicowa|To je tuš-kabina.|To jest kabina prysznicowa.
kupaonski ormarić|szafka łazienkowa|To je kupaonski ormarić.|To jest szafka łazienkowa.
# noun|food
zdjela|miska|To je zdjela.|To jest miska.
zdjelica|miseczka|To je zdjelica.|To jest miseczka.
pladanj|taca|To je pladanj.|To jest taca.
plitica|półmisek|To je plitica.|To jest półmisek.
poklopac|pokrywka|To je poklopac.|To jest pokrywka.
cjedilo|durszlak|To je cjedilo.|To jest durszlak.
sito|sito|To je sito.|To jest sito.
ribež|tarka|To je ribež.|To jest tarka.
gulilica|obieraczka|To je gulilica.|To jest obieraczka.
kuhača|łyżka do gotowania|To je kuhača.|To jest łyżka do gotowania.
zaimača|chochla|To je zaimača.|To jest chochla.
pjenjača|trzepaczka kuchenna|To je pjenjača.|To jest trzepaczka kuchenna.
valjak za tijesto|wałek do ciasta|To je valjak za tijesto.|To jest wałek do ciasta.
daska za rezanje|deska do krojenia|To je daska za rezanje.|To jest deska do krojenia.
lim za pečenje|blacha do pieczenia|To je lim za pečenje.|To jest blacha do pieczenia.
papir za pečenje|papier do pieczenia|To je papir za pečenje.|To jest papier do pieczenia.
aluminijska folija|folia aluminiowa|To je aluminijska folija.|To jest folia aluminiowa.
prozirna folija|folia spożywcza|To je prozirna folija.|To jest folia spożywcza.
mjerna posuda|miarka kuchenna|To je mjerna posuda.|To jest miarka kuchenna.
kuhinjska vaga|waga kuchenna|To je kuhinjska vaga.|To jest waga kuchenna.
toster|toster|To je toster.|To jest toster.
sjeckalica|rozdrabniacz|To je sjeckalica.|To jest rozdrabniacz.
blender|blender|To je blender.|To jest blender.
sokovnik|sokowirówka|To je sokovnik.|To jest sokowirówka.
aparat za sendviče|opiekacz do kanapek|To je aparat za sendviče.|To jest opiekacz do kanapek.
kuhinjska napa|okap kuchenny|To je kuhinjska napa.|To jest okap kuchenny.
sudoper|zlew kuchenny|To je sudoper.|To jest zlew kuchenny.
deterdžent za posuđe|płyn do mycia naczyń|To je deterdžent za posuđe.|To jest płyn do mycia naczyń.
kuhinjska krpa|ścierka kuchenna|To je kuhinjska krpa.|To jest ścierka kuchenna.
pregača|fartuch|To je pregača.|To jest fartuch.
kuhinjska rukavica|rękawica kuchenna|To je kuhinjska rukavica.|To jest rękawica kuchenna.
prstohvat|szczypta|To je prstohvat.|To jest szczypta.
gutljaj|łyk|To je gutljaj.|To jest łyk.
zalogaj|kęs|To je zalogaj.|To jest kęs.
kriška|kromka, plaster|To je kriška.|To jest kromka.
feta|plaster sera lub wędliny|To je feta.|To jest plaster sera lub wędliny.
mrvica|okruszek|To je mrvica.|To jest okruszek.
korica|skórka chleba|To je korica.|To jest skórka chleba.
sredina kruha|miąższ chleba|To je sredina kruha.|To jest miąższ chleba.
koštica|pestka|To je koštica.|To jest pestka.
sjemenka|nasionko|To je sjemenka.|To jest nasionko.
ljuska|łupina, skorupka|To je ljuska.|To jest łupina.
žumanjak|żółtko|To je žumanjak.|To jest żółtko.
bjelanjak|białko jajka|To je bjelanjak.|To jest białko jajka.
teletina|cielęcina|To je teletina.|To jest cielęcina.
puretina|mięso z indyka|To je puretina.|To jest mięso z indyka.
pačetina|mięso z kaczki|To je pačetina.|To jest mięso z kaczki.
mljeveno meso|mięso mielone|To je mljeveno meso.|To jest mięso mielone.
pileća prsa|pierś z kurczaka|To su pileća prsa.|To jest pierś z kurczaka.
batak|udko drobiowe|To je batak.|To jest udko drobiowe.
zabatak|górna część udka drobiowego|To je zabatak.|To jest górna część udka drobiowego.
krilce|skrzydełko drobiowe|To je krilce.|To jest skrzydełko drobiowe.
rebarca|żeberka|To su rebarca.|To są żeberka.
slanina|boczek|To je slanina.|To jest boczek.
šunka|szynka|To je šunka.|To jest szynka.
salama|salami|To je salama.|To jest salami.
hrenovka|parówka|To je hrenovka.|To jest parówka.
pašteta|pasztet do smarowania|To je pašteta.|To jest pasztet do smarowania.
ćevap|wałeczek mielonego mięsa z grilla|To je ćevap.|To jest wałeczek mielonego mięsa z grilla.
pljeskavica|bałkański kotlet z mięsa mielonego|To je pljeskavica.|To jest bałkański kotlet z mięsa mielonego.
ražnjić|szaszłyk|To je ražnjić.|To jest szaszłyk.
sarma|gołąbek w kiszonej kapuście|To je sarma.|To jest gołąbek w kiszonej kapuście.
punjena paprika|papryka faszerowana|To je punjena paprika.|To jest papryka faszerowana.
varivo|gęsta potrawa warzywna jednogarnkowa|To je varivo.|To jest gęsta potrawa warzywna jednogarnkowa.
paprikaš|gulasz z papryką|To je paprikaš.|To jest gulasz z papryką.
pečenje|pieczeń|To je pečenje.|To jest pieczeń.
pohano meso|mięso panierowane|To je pohano meso.|To jest mięso panierowane.
pire krumpir|purée ziemniaczane|To je pire krumpir.|To jest purée ziemniaczane.
pečeni krumpir|pieczone ziemniaki|To je pečeni krumpir.|To są pieczone ziemniaki.
krumpirići|frytki|To su krumpirići.|To są frytki.
jogurt za piće|jogurt pitny|To je jogurt za piće.|To jest jogurt pitny.
kiselo vrhnje|kwaśna śmietana|To je kiselo vrhnje.|To jest kwaśna śmietana.
slatko vrhnje|słodka śmietanka|To je slatko vrhnje.|To jest słodka śmietanka.
vrhnje za kuhanje|śmietanka do gotowania|To je vrhnje za kuhanje.|To jest śmietanka do gotowania.
šlag|bita śmietana|To je šlag.|To jest bita śmietana.
sirutka|serwatka|To je sirutka.|To jest serwatka.
kefir|kefir|To je kefir.|To jest kefir.
namaz|pasta do smarowania|To je namaz.|To jest pasta do smarowania.
krem sir|serek kremowy|To je krem sir.|To jest serek kremowy.
topljeni sir|ser topiony|To je topljeni sir.|To jest ser topiony.
kozji sir|ser kozi|To je kozji sir.|To jest ser kozi.
ovčji sir|ser owczy|To je ovčji sir.|To jest ser owczy.
zobene pahuljice|płatki owsiane|To su zobene pahuljice.|To są płatki owsiane.
zobena kaša|owsianka|To je zobena kaša.|To jest owsianka.
krupica|kasza manna|To je krupica.|To jest kasza manna.
heljda|gryka|To je heljda.|To jest gryka.
proso|proso|To je proso.|To jest proso.
ječam|jęczmień|To je ječam.|To jest jęczmień.
zob|owies|To je zob.|To jest owies.
raž|żyto|To je raž.|To jest żyto.
pšenica|pszenica|To je pšenica.|To jest pszenica.
palenta|polenta, gęsta kasza kukurydziana|To je palenta.|To jest polenta.
kuskus|kuskus|To je kuskus.|To jest kuskus.
leća|soczewica|To je leća.|To jest soczewica.
slanutak|ciecierzyca|To je slanutak.|To jest ciecierzyca.
mahune|fasolka szparagowa|To su mahune.|To jest fasolka szparagowa.
soja|soja|To je soja.|To jest soja.
cikla|burak ćwikłowy|To je cikla.|To jest burak ćwikłowy.
repa|rzepa|To je repa.|To jest rzepa.
celer|seler|To je celer.|To jest seler.
poriluk|por|To je poriluk.|To jest por.
rotkvica|rzodkiewka|To je rotkvica.|To jest rzodkiewka.
patlidžan|bakłażan|To je patlidžan.|To jest bakłażan.
tikvica|cukinia|To je tikvica.|To jest cukinia.
bundeva|dynia|To je bundeva.|To jest dynia.
cvjetača|kalafior|To je cvjetača.|To jest kalafior.
brokula|brokuł|To je brokula.|To jest brokuł.
kelj|kapusta włoska|To je kelj.|To jest kapusta włoska.
prokulica|brukselka|To je prokulica.|To jest brukselka.
blitva|boćwina|To je blitva.|To jest boćwina.
rukola|rukola|To je rukola.|To jest rukola.
šparoga|szparag|To je šparoga.|To jest szparag.
artičoka|karczoch|To je artičoka.|To jest karczoch.
feferon|ostra papryczka|To je feferon.|To jest ostra papryczka.
đumbir|imbir|To je đumbir.|To jest imbir.
hren|chrzan|To je hren.|To jest chrzan.
češnjevi češnjaka|ząbki czosnku|To su češnjevi češnjaka.|To są ząbki czosnku.
mladi luk|dymka|To je mladi luk.|To jest dymka.
šampinjon|pieczarka|To je šampinjon.|To jest pieczarka.
vrganj|borowik|To je vrganj.|To jest borowik.
lisičarka|kurka, grzyb|To je lisičarka.|To jest kurka.
brusnica|żurawina|To je brusnica.|To jest żurawina.
ribiz|porzeczka|To je ribiz.|To jest porzeczka.
ogrozd|agrest|To je ogrozd.|To jest agrest.
dunja|pigwa|To je dunja.|To jest pigwa.
datulja|daktyl|To je datulja.|To jest daktyl.
nektarina|nektarynka|To je nektarina.|To jest nektarynka.
mandarina|mandarynka|To je mandarina.|To jest mandarynka.
kivi|kiwi|To je kivi.|To jest kiwi.
ananas|ananas|To je ananas.|To jest ananas.
avokado|awokado|To je avokado.|To jest awokado.
mango|mango|To je mango.|To jest mango.
limeta|limonka|To je limeta.|To jest limonka.
lješnjak|orzech laskowy|To je lješnjak.|To jest orzech laskowy.
pistacija|pistacja|To je pistacija.|To jest pistacja.
indijski oraščić|orzech nerkowca|To je indijski oraščić.|To jest orzech nerkowca.
kikiriki|orzeszki ziemne|To je kikiriki.|To są orzeszki ziemne.
kesten|kasztan jadalny|To je kesten.|To jest kasztan jadalny.
grožđica|rodzynka|To je grožđica.|To jest rodzynka.
sušeno voće|suszone owoce|To je sušeno voće.|To są suszone owoce.
bučine sjemenke|pestki dyni|To su bučine sjemenke.|To są pestki dyni.
lanene sjemenke|siemię lniane|To su lanene sjemenke.|To jest siemię lniane.
sezam|sezam|To je sezam.|To jest sezam.
mak|mak|To je mak.|To jest mak.
cimet|cynamon|To je cimet.|To jest cynamon.
vanilija|wanilia|To je vanilija.|To jest wanilia.
klinčić|goździk, przyprawa|To je klinčić.|To jest goździk.
muškatni oraščić|gałka muszkatołowa|To je muškatni oraščić.|To jest gałka muszkatołowa.
kurkuma|kurkuma|To je kurkuma.|To jest kurkuma.
ružmarin|rozmaryn|To je ružmarin.|To jest rozmaryn.
timijan|tymianek|To je timijan.|To jest tymianek.
origano|oregano|To je origano.|To jest oregano.
metvica|mięta|To je metvica.|To jest mięta.
kadulja|szałwia|To je kadulja.|To jest szałwia.
lovorov list|liść laurowy|To je lovorov list.|To jest liść laurowy.
vlasac|szczypiorek|To je vlasac.|To jest szczypiorek.
korijandar|kolendra|To je korijandar.|To jest kolendra.
kim|kminek|To je kim.|To jest kminek.
maslac od kikirikija|masło z orzeszków ziemnych|To je maslac od kikirikija.|To jest masło z orzeszków ziemnych.
javorov sirup|syrop klonowy|To je javorov sirup.|To jest syrop klonowy.
zaslađivač|słodzik|To je zaslađivač.|To jest słodzik.
prašak za pecivo|proszek do pieczenia|To je prašak za pecivo.|To jest proszek do pieczenia.
soda bikarbona|soda oczyszczona|To je soda bikarbona.|To jest soda oczyszczona.
škrob|skrobia|To je škrob.|To jest skrobia.
prezle|bułka tarta|To su prezle.|To jest bułka tarta.
čokolada za kuhanje|czekolada do wypieków|To je čokolada za kuhanje.|To jest czekolada do wypieków.
kakao|kakao|To je kakao.|To jest kakao.
# noun|clothes
potkošulja|podkoszulek|To je potkošulja.|To jest podkoszulek.
gaćice|majtki damskie lub dziecięce|To su gaćice.|To są majtki damskie lub dziecięce.
gaće|majtki|To su gaće.|To są majtki.
bokserice|bokserki|To su bokserice.|To są bokserki.
grudnjak|biustonosz|To je grudnjak.|To jest biustonosz.
pidžama|piżama|To je pidžama.|To jest piżama.
spavaćica|koszula nocna|To je spavaćica.|To jest koszula nocna.
kućni ogrtač|szlafrok|To je kućni ogrtač.|To jest szlafrok.
trenirka|dres|To je trenirka.|To jest dres.
sportska majica|koszulka sportowa|To je sportska majica.|To jest koszulka sportowa.
majica s kapuljačom|bluza z kapturem|To je majica s kapuljačom.|To jest bluza z kapturem.
kapuljača|kaptur|To je kapuljača.|To jest kaptur.
prsluk|kamizelka|To je prsluk.|To jest kamizelka.
kaput|płaszcz|To je kaput.|To jest płaszcz.
baloner|trencz|To je baloner.|To jest trencz.
kabanica|peleryna przeciwdeszczowa|To je kabanica.|To jest peleryna przeciwdeszczowa.
bunda|futro jako ubranie|To je bunda.|To jest futro jako ubranie.
sako|marynarka|To je sako.|To jest marynarka.
odijelo|garnitur|To je odijelo.|To jest garnitur.
kostim|przebranie|To je kostim.|To jest przebranie.
bluza|bluzka|To je bluza.|To jest bluzka.
tunika|tunika|To je tunika.|To jest tunika.
tajice|legginsy|To su tajice.|To są legginsy.
najlonke|rajstopy|To su najlonke.|To są rajstopy.
dokoljenke|podkolanówki|To su dokoljenke.|To są podkolanówki.
kupaće hlače|szorty kąpielowe|To su kupaće hlače.|To są szorty kąpielowe.
bikini|bikini|To je bikini.|To jest bikini.
šilterica|czapka z daszkiem|To je šilterica.|To jest czapka z daszkiem.
beretka|beret|To je beretka.|To jest beret.
kravata|krawat|To je kravata.|To jest krawat.
leptir-mašna|muszka do koszuli|To je leptir-mašna.|To jest muszka do koszuli.
broš|broszka|To je broš.|To jest broszka.
privjesak|brelok|To je privjesak.|To jest brelok.
kopča|klamra, zapinka|To je kopča.|To jest klamra.
vezica|sznurówka|To je vezica.|To jest sznurówka.
đon|podeszwa|To je đon.|To jest podeszwa.
uložak za cipelu|wkładka do buta|To je uložak za cipelu.|To jest wkładka do buta.
potpetica|obcas|To je potpetica.|To jest obcas.
štikla|szpilka, but na obcasie|To je štikla.|To jest szpilka.
balerinka|balerina, płaski but|To je balerinka.|To jest balerina.
gumene čizme|kalosze|To su gumene čizme.|To są kalosze.
cipele za planinarenje|buty trekkingowe|To su cipele za planinarenje.|To są buty trekkingowe.
japanke|japonki|To su japanke.|To są japonki.
šav|szew|To je šav.|To jest szew.
porub|obręb ubrania|To je porub.|To jest obręb ubrania.
podstava|podszewka|To je podstava.|To jest podszewka.
tkanina|tkanina|To je tkanina.|To jest tkanina.
pletivo|dzianina|To je pletivo.|To jest dzianina.
traper|dżins jako materiał|To je traper.|To jest dżins jako materiał.
umjetna koža|sztuczna skóra|To je umjetna koža.|To jest sztuczna skóra.
poliester|poliester|To je poliester.|To jest poliester.
viskoza|wiskoza|To je viskoza.|To jest wiskoza.
elastan|elastan|To je elastan.|To jest elastan.
uzorak|wzór, deseń|To je uzorak.|To jest wzór.
pruga|pasek we wzorze|To je pruga.|To jest pasek we wzorze.
točkica|kropka|To je točkica.|To jest kropka.
mrlja|plama|To je mrlja.|To jest plama.
nabor|fałda|To je nabor.|To jest fałda.
kroj|krój|To je kroj.|To jest krój.
opseg struka|obwód pasa|To je opseg struka.|To jest obwód pasa.
krojač|krawiec|To je krojač.|To jest krawiec.
krojačica|krawcowa|To je krojačica.|To jest krawcowa.
kemijska čistionica|pralnia chemiczna|To je kemijska čistionica.|To jest pralnia chemiczna.
# noun|body health
obrva|brew|To je obrva.|To jest brew.
trepavica|rzęsa|To je trepavica.|To jest rzęsa.
kapak|powieka|To je kapak.|To jest powieka.
zjenica|źrenica|To je zjenica.|To jest źrenica.
obraz|policzek|To je obraz.|To jest policzek.
usna|warga|To je usna.|To jest warga.
čeljust|szczęka|To je čeljust.|To jest szczęka.
brkovi|wąsy|To su brkovi.|To są wąsy.
sljepoočnica|skroń|To je sljepoočnica.|To jest skroń.
tjeme|czubek głowy|To je tjeme.|To jest czubek głowy.
potiljak|tył głowy|To je potiljak.|To jest tył głowy.
dlaka|włos na ciele, sierść|To je dlaka.|To jest włos na ciele.
vlasište|skóra głowy|To je vlasište.|To jest skóra głowy.
nepce|podniebienie|To je nepce.|To jest podniebienie.
slina|ślina|To je slina.|To jest ślina.
kutnjak|ząb trzonowy|To je kutnjak.|To jest ząb trzonowy.
umnjak|ząb mądrości|To je umnjak.|To jest ząb mądrości.
ključna kost|obojczyk|To je ključna kost.|To jest obojczyk.
prsni koš|klatka piersiowa|To je prsni koš.|To jest klatka piersiowa.
rebro|żebro|To je rebro.|To jest żebro.
ramena lopatica|łopatka jako kość|To je ramena lopatica.|To jest łopatka jako kość.
pazuh|pacha|To je pazuh.|To jest pacha.
podlaktica|przedramię|To je podlaktica.|To jest przedramię.
nadlaktica|ramię od barku do łokcia|To je nadlaktica.|To jest ramię od barku do łokcia.
kažiprst|palec wskazujący|To je kažiprst.|To jest palec wskazujący.
srednji prst|palec środkowy|To je srednji prst.|To jest palec środkowy.
prstenjak|palec serdeczny|To je prstenjak.|To jest palec serdeczny.
mali prst|mały palec|To je mali prst.|To jest mały palec.
zglob|staw|To je zglob.|To jest staw.
šaka|dłoń, ręka od nadgarstka do palców|To je šaka.|To jest dłoń.
trup|tułów|To je trup.|To jest tułów.
pupak|pępek|To je pupak.|To jest pępek.
struk|talia|To je struk.|To jest talia.
kuk|biodro|To je kuk.|To jest biodro.
prepona|pachwina|To je prepona.|To jest pachwina.
stražnjica|pośladki|To je stražnjica.|To są pośladki.
bedro|udo|To je bedro.|To jest udo.
natkoljenica|udo jako część nogi nad kolanem|To je natkoljenica.|To jest udo jako część nogi nad kolanem.
potkoljenica|podudzie|To je potkoljenica.|To jest podudzie.
list noge|łydka|To je list noge.|To jest łydka.
gležanj|kostka, staw skokowy|To je gležanj.|To jest kostka.
taban|podeszwa stopy|To je taban.|To jest podeszwa stopy.
nožni prst|palec u nogi|To je nožni prst.|To jest palec u nogi.
tetiva|ścięgno|To je tetiva.|To jest ścięgno.
ligament|więzadło|To je ligament.|To jest więzadło.
hrskavica|chrząstka|To je hrskavica.|To jest chrząstka.
vena|żyła|To je vena.|To jest żyła.
arterija|tętnica|To je arterija.|To jest tętnica.
živac|nerw|To je živac.|To jest nerw.
koštana srž|szpik kostny|To je koštana srž.|To jest szpik kostny.
jednjak|przełyk|To je jednjak.|To jest przełyk.
dušnik|tchawica|To je dušnik.|To jest tchawica.
dijafragma|przepona|To je dijafragma.|To jest przepona.
crijevo|jelito|To je crijevo.|To jest jelito.
gušterača|trzustka|To je gušterača.|To jest trzustka.
slezena|śledziona|To je slezena.|To jest śledziona.
žučni mjehur|pęcherzyk żółciowy|To je žučni mjehur.|To jest pęcherzyk żółciowy.
mokraćni mjehur|pęcherz moczowy|To je mokraćni mjehur.|To jest pęcherz moczowy.
štitnjača|tarczyca|To je štitnjača.|To jest tarczyca.
spol|płeć|To je spol.|To jest płeć.
menstruacija|miesiączka|To je menstruacija.|To jest miesiączka.
uložak|podpaska|To je uložak.|To jest podpaska.
tampon|tampon|To je tampon.|To jest tampon.
kondom|prezerwatywa|To je kondom.|To jest prezerwatywa.
kontracepcija|antykoncepcja|To je kontracepcija.|To jest antykoncepcja.
porod|poród|To je porod.|To jest poród.
dojenje|karmienie piersią|To je dojenje.|To jest karmienie piersią.
pelena|pielucha|To je pelena.|To jest pielucha.
duda|smoczek|To je duda.|To jest smoczek.
bočica|buteleczka|To je bočica.|To jest buteleczka.
dječja kolica|wózek dziecięcy|To su dječja kolica.|To jest wózek dziecięcy.
kolijevka|kołyska|To je kolijevka.|To jest kołyska.
krevetić|łóżeczko|To je krevetić.|To jest łóżeczko.
zvečka|grzechotka|To je zvečka.|To jest grzechotka.
osip|wysypka|To je osip.|To jest wysypka.
svrbež|świąd|To je svrbež.|To jest świąd.
prištić|pryszcz|To je prištić.|To jest pryszcz.
akne|trądzik|To su akne.|To jest trądzik.
bora|zmarszczka|To je bora.|To jest zmarszczka.
pjega|pieg|To je pjega.|To jest pieg.
madež|pieprzyk, znamię skórne|To je madež.|To jest pieprzyk.
bradavica|brodawka skórna|To je bradavica.|To jest brodawka skórna.
žulj|pęcherz od otarcia|To je žulj.|To jest pęcherz od otarcia.
ogrebotina|zadrapanie|To je ogrebotina.|To jest zadrapanie.
prijelom|złamanie|To je prijelom.|To jest złamanie.
uganuće|skręcenie stawu|To je uganuće.|To jest skręcenie stawu.
istegnuće|naciągnięcie mięśnia lub ścięgna|To je istegnuće.|To jest naciągnięcie mięśnia lub ścięgna.
upala|stan zapalny|To je upala.|To jest stan zapalny.
gnoj|ropa w ranie|To je gnoj.|To jest ropa w ranie.
krasta|strup|To je krasta.|To jest strup.
krvarenje|krwawienie|To je krvarenje.|To jest krwawienie.
nesvjestica|omdlenie|To je nesvjestica.|To jest omdlenie.
vrtoglavica|zawroty głowy|To je vrtoglavica.|To są zawroty głowy.
mučnina|nudności|To je mučnina.|To są nudności.
povraćanje|wymioty|To je povraćanje.|To są wymioty.
proljev|biegunka|To je proljev.|To jest biegunka.
žgaravica|zgaga|To je žgaravica.|To jest zgaga.
nadutost|wzdęcia|To je nadutost.|To są wzdęcia.
štucanje|czkawka|To je štucanje.|To jest czkawka.
kihanje|kichanie|To je kihanje.|To jest kichanie.
curenje nosa|katar|To je curenje nosa.|To jest katar.
začepljen nos|zatkany nos|To je začepljen nos.|To jest zatkany nos.
groznica|stan gorączkowy z dreszczami|To je groznica.|To jest stan gorączkowy z dreszczami.
zimica|dreszcze|To je zimica.|To są dreszcze.
upala grla|zapalenie gardła|To je upala grla.|To jest zapalenie gardła.
upala pluća|zapalenie płuc|To je upala pluća.|To jest zapalenie płuc.
upala uha|zapalenie ucha|To je upala uha.|To jest zapalenie ucha.
upala sinusa|zapalenie zatok|To je upala sinusa.|To jest zapalenie zatok.
upala mišića|bolesność mięśni po wysiłku|To je upala mišića.|To jest bolesność mięśni po wysiłku.
karijes|próchnica|To je karijes.|To jest próchnica.
plomba|plomba zębowa|To je plomba.|To jest plomba zębowa.
proteza|proteza|To je proteza.|To jest proteza.
aparatić za zube|aparat ortodontyczny|To je aparatić za zube.|To jest aparat ortodontyczny.
kontaktne leće|soczewki kontaktowe|To su kontaktne leće.|To są soczewki kontaktowe.
slušni aparat|aparat słuchowy|To je slušni aparat.|To jest aparat słuchowy.
štaka|kula do chodzenia|To je štaka.|To jest kula do chodzenia.
invalidska kolica|wózek inwalidzki|To su invalidska kolica.|To jest wózek inwalidzki.
gaza|gaza opatrunkowa|To je gaza.|To jest gaza opatrunkowa.
oblog|okład|To je oblog.|To jest okład.
gips|gips|To je gips.|To jest gips.
udlaga|szyna ortopedyczna|To je udlaga.|To jest szyna ortopedyczna.
mast|maść|To je mast.|To jest maść.
kapi za oči|krople do oczu|To su kapi za oči.|To są krople do oczu.
kapi za nos|krople do nosa|To su kapi za nos.|To są krople do nosa.
sirup protiv kašlja|syrop na kaszel|To je sirup protiv kašlja.|To jest syrop na kaszel.
šumeća tableta|tabletka musująca|To je šumeća tableta.|To jest tabletka musująca.
čepić|czopek|To je čepić.|To jest czopek.
injekcija|zastrzyk|To je injekcija.|To jest zastrzyk.
šprica|strzykawka|To je šprica.|To jest strzykawka.
infuzija|kroplówka|To je infuzija.|To jest kroplówka.
toplomjer|termometr medyczny|To je toplomjer.|To jest termometr medyczny.
tlakomjer|ciśnieniomierz|To je tlakomjer.|To jest ciśnieniomierz.
čekaonica|poczekalnia|To je čekaonica.|To jest poczekalnia.
ordinacija|gabinet lekarski|To je ordinacija.|To jest gabinet lekarski.
dom zdravlja|przychodnia zdrowia|To je dom zdravlja.|To jest przychodnia zdrowia.
hitni prijam|szpitalny oddział ratunkowy|To je hitni prijam.|To jest szpitalny oddział ratunkowy.
liječenje|leczenie|To je liječenje.|To jest leczenie.
oporavak|powrót do zdrowia|To je oporavak.|To jest powrót do zdrowia.
rehabilitacija|rehabilitacja|To je rehabilitacija.|To jest rehabilitacja.
fizioterapeut|fizjoterapeuta|To je fizioterapeut.|To jest fizjoterapeuta.
dermatolog|dermatolog|To je dermatolog.|To jest dermatolog.
oftalmolog|okulista|To je oftalmolog.|To jest okulista.
ginekolog|ginekolog|To je ginekolog.|To jest ginekolog.
pedijatar|pediatra|To je pedijatar.|To jest pediatra.
psiholog|psycholog|To je psiholog.|To jest psycholog.
psihoterapeut|psychoterapeuta|To je psihoterapeut.|To jest psychoterapeuta.
psihijatar|psychiatra|To je psihijatar.|To jest psychiatra.
# noun|transportation
tramvaj|tramwaj|To je tramvaj.|To jest tramwaj.
trolejbus|trolejbus|To je trolejbus.|To jest trolejbus.
minibus|minibus|To je minibus.|To jest minibus.
kombi|samochód dostawczy, van|To je kombi.|To jest samochód dostawczy.
kamion|ciężarówka|To je kamion.|To jest ciężarówka.
šleper|ciągnik siodłowy z naczepą|To je šleper.|To jest ciągnik siodłowy z naczepą.
prikolica|przyczepa|To je prikolica.|To jest przyczepa.
kamper|kamper|To je kamper.|To jest kamper.
motocikl|motocykl|To je motocikl.|To jest motocykl.
skuter|skuter|To je skuter.|To jest skuter.
romobil|hulajnoga|To je romobil.|To jest hulajnoga.
električni romobil|hulajnoga elektryczna|To je električni romobil.|To jest hulajnoga elektryczna.
roleri|rolki|To su roleri.|To są rolki.
klizaljke|łyżwy|To su klizaljke.|To są łyżwy.
sanjke|sanki|To su sanjke.|To są sanki.
brodica|mała łódź|To je brodica.|To jest mała łódź.
gliser|motorówka|To je gliser.|To jest motorówka.
jedrilica|żaglówka|To je jedrilica.|To jest żaglówka.
jahta|jacht|To je jahta.|To jest jacht.
katamaran|katamaran|To je katamaran.|To jest katamaran.
