Rank;Polish;Croatian;PartOfSpeech;Grammar;ExampleCroatian;ExamplePolish;FalseFriend;FalseFriendNote;Tags
1028;kiedyś (w przeszłości);nekad;adverb;też: nekada;Nekad je ovdje bilo kino.;Kiedyś było tu kino.;NO;;HR_1001_1500 adverb time
1029;pewnego dnia;jednog dana;phrase;;Jednog dana ću se vratiti.;Pewnego dnia wrócę.;NO;;HR_1001_1500 time
1030;na razie;za sada;phrase;potocznie: zasad;Za sada je sve u redu.;Na razie wszystko w porządku.;NO;;HR_1001_1500 conversation
1031;od razu;odmah;adverb;;Dođi odmah molim te.;Przyjdź od razu proszę.;NO;;HR_1001_1500 adverb time
1032;natychmiast;trenutno;adverb;częściej: odmah;Treba mi odgovor odmah.;Potrzebuję odpowiedzi natychmiast.;NO;;HR_1001_1500 adverb work
1033;stopniowo;postupno;adverb;;Postupno se privikavam.;Stopniowo się przyzwyczajam.;NO;;HR_1001_1500 adverb
1034;przyzwyczajać się;privikavati se;verb;1. os.: privikavam se - na što;Privikavam se na novi grad.;Przyzwyczajam się do nowego miasta.;NO;;HR_1001_1500 verb emotions
1035;zwyczajowo;po običaju;phrase;;Po običaju idemo baki.;Zwyczajowo jedziemy do babci.;NO;;HR_1001_1500 people
1036;wolno (nie szybko);polako;adverb;też: sporo;Vozi polako ovdje.;Jedź wolno tutaj.;NO;;HR_1001_1500 adverb transportation
1037;szybko;brzo;adverb;;Vrijeme prolazi brzo.;Czas mija szybko.;NO;;HR_1001_1500 adverb time
1038;mijać (o czasie);prolaziti;verb;1. os.: prolazim;Ljeto prolazi prebrzo.;Lato mija za szybko.;NO;;HR_1001_1500 verb time
1039;trwać;trajati;verb;3. os.: traje;Predstava traje dva sata.;Przedstawienie trwa dwie godziny.;NO;;HR_1001_1500 verb media
1040;zaczynać się;započeti;verb;1. os.: započnem;Škola započinje u rujnu.;Szkoła zaczyna się we wrześniu.;NO;;HR_1001_1500 verb time
1041;pojawiać się;pojaviti se;verb;1. os.: pojavim se;Nije se pojavio na sastanku.;Nie pojawił się na spotkaniu.;NO;;HR_1001_1500 verb work
1042;znikać;nestati;verb;1. os.: nestanem;Ključevi su jednostavno nestali.;Klucze po prostu zniknęły.;NO;;HR_1001_1500 verb
1043;zdarzać się;događati se;verb;3. os.: događa se;To se često događa ljeti.;To się często zdarza latem.;NO;;HR_1001_1500 verb
1044;wydarzenie;događaj;noun;rodzaj męski - mn. događaji;Bio je to važan događaj.;To było ważne wydarzenie.;NO;;HR_1001_1500 noun media
1045;impreza;zabava;noun;rodzaj żeński - znaczy też rozrywka;Zabava je trajala do jutra.;Impreza trwała do rana.;NO;;HR_1001_1500 noun people
1046;bawić się;zabavljati se;verb;1. os.: zabavljam se;Zabavljali smo se odlično.;Bawiliśmy się znakomicie.;NO;;HR_1001_1500 verb emotions
1047;nudzić się;dosađivati se;verb;1. os.: dosađujem se;Dosađujem se na ovom predavanju.;Nudzę się na tym wykładzie.;NO;;HR_1001_1500 verb emotions
1048;nudny;dosadan;adjective;ž. dosadna - znaczy też uciążliwy;Film je bio dosadan.;Film był nudny.;NO;;HR_1001_1500 adjective media
1049;ciekawy (interesujący);zanimljiv;adjective;ž. zanimljiva;Knjiga je vrlo zanimljiva.;Książka jest bardzo ciekawa.;NO;;HR_1001_1500 adjective media
1050;interesować się;zanimati se;verb;1. os.: zanimam se - za što;Zanimam se za povijest.;Interesuję się historią.;NO;;HR_1001_1500 verb opinions
1051;hobby;hobi;noun;rodzaj męski;Fotografija mi je hobi.;Fotografia jest moim hobby.;NO;;HR_1001_1500 noun
1052;zbierać;skupljati;verb;1. os.: skupljam;Skuplja stare ploče.;Zbiera stare płyty.;NO;;HR_1001_1500 verb
1053;ogrodnictwo;vrtlarstvo;noun;rodzaj nijaki;Vrtlarstvo ga umiruje.;Ogrodnictwo go uspokaja.;NO;;HR_1001_1500 noun home
1054;wędkarstwo;ribolov;noun;rodzaj męski;Ribolov je njegova strast.;Wędkarstwo to jego pasja.;NO;;HR_1001_1500 noun
1055;gra (zabawa);igra;noun;rodzaj żeński;Ova igra je za dvoje.;Ta gra jest dla dwojga.;NO;;HR_1001_1500 noun
1056;karty (do gry);karte;noun;rodzaj żeński mn.;Igramo karte na terasi.;Gramy w karty na tarasie.;NO;;HR_1001_1500 noun
1057;zwyciężać w grze;dobiti;verb;1. os.: dobijem - znaczy też dostać;Dobio je treću partiju.;Wygrał trzecią partię.;NO;;HR_1001_1500 verb
1058;drużyna;ekipa;noun;rodzaj żeński;Naša ekipa igra u subotu.;Nasza drużyna gra w sobotę.;NO;;HR_1001_1500 noun
1059;trener;trener;noun;rodzaj męski;Trener je promijenio taktiku.;Trener zmienił taktykę.;NO;;HR_1001_1500 noun people
1060;trenować;trenirati;verb;1. os.: treniram;Treniram tri puta u tjednu.;Trenuję trzy razy w tygodniu.;NO;;HR_1001_1500 verb
1061;siłownia;teretana;noun;rodzaj żeński;Idem u teretanu poslije posla.;Idę na siłownię po pracy.;NO;;HR_1001_1500 noun
1062;bieganie;trčanje;noun;rodzaj nijaki;Trčanje mi pomaže spavati.;Bieganie pomaga mi spać.;NO;;HR_1001_1500 noun
1063;rower górski;brdski bicikl;noun;rodzaj męski;Kupio je brdski bicikl.;Kupił rower górski.;NO;;HR_1001_1500 noun
1064;narty;skije;noun;rodzaj żeński mn.;Skije su nam u podrumu.;Narty mamy w piwnicy.;NO;;HR_1001_1500 noun
1065;piwnica;podrum;noun;rodzaj męski - mn. podrumi;Vino držimo u podrumu.;Wino trzymamy w piwnicy.;NO;;HR_1001_1500 noun home
1066;garaż;garaža;noun;rodzaj żeński;Auto je u garaži.;Samochód jest w garażu.;NO;;HR_1001_1500 noun home
1067;balkon;balkon;noun;rodzaj męski;Sušim rublje na balkonu.;Suszę pranie na balkonie.;NO;;HR_1001_1500 noun home
1068;korytarz;hodnik;noun;rodzaj męski - mn. hodnici;Ostavi kofere u hodniku.;Zostaw walizki w korytarzu.;NO;;HR_1001_1500 noun home
1069;salon;dnevna soba;noun;rodzaj żeński - dosł. pokój dzienny;Gosti su u dnevnoj sobi.;Goście są w salonie.;NO;;HR_1001_1500 noun home
1070;sypialnia;spavaća soba;noun;rodzaj żeński;Spavaća soba je mala.;Sypialnia jest mała.;NO;;HR_1001_1500 noun home
1071;kanapa;kauč;noun;rodzaj męski - też: trosjed;Kauč je jako udoban.;Kanapa jest bardzo wygodna.;NO;;HR_1001_1500 noun home
1072;wygodny;udoban;adjective;ž. udobna;Krevet je udoban.;Łóżko jest wygodne.;NO;;HR_1001_1500 adjective home travel
1073;niewygodny;neudoban;adjective;ž. neudobna;Sjedalo je bilo neudobno.;Siedzenie było niewygodne.;NO;;HR_1001_1500 adjective transportation
1074;przestronny;prostran;adjective;ž. prostrana;Stan je prostran i svijetao.;Mieszkanie jest przestronne i jasne.;NO;;HR_1001_1500 adjective home
1075;ciasny;tijesan;adjective;ž. tijesna;Kuhinja je tijesna za dvoje.;Kuchnia jest ciasna dla dwojga.;NO;;HR_1001_1500 adjective home
1076;wynajmować (brać);unajmiti;verb;1. os.: unajmim;Unajmili smo auto na tri dana.;Wynajęliśmy samochód na trzy dni.;NO;;HR_1001_1500 verb travel
1077;wynajmować (dawać);iznajmljivati;verb;1. os.: iznajmljujem;Iznajmljuju sobe turistima.;Wynajmują pokoje turystom.;NO;;HR_1001_1500 verb travel
1078;czynsz;najam;noun;rodzaj męski - gen. najma - też: kirija;Najam je porastao ove godine.;Czynsz wzrósł w tym roku.;NO;;HR_1001_1500 noun home
1079;właściciel;vlasnik;noun;rodzaj męski - ž. vlasnica;Vlasnik stana živi u Njemačkoj.;Właściciel mieszkania mieszka w Niemczech.;NO;;HR_1001_1500 noun home people
1080;przeprowadzać się;preseliti se;verb;1. os.: preselim se;Preselili smo se u ožujku.;Przeprowadziliśmy się w marcu.;NO;;HR_1001_1500 verb home
1081;remont;renovacija;noun;rodzaj żeński - też: obnova;Renovacija traje već pola godine.;Remont trwa już pół roku.;NO;;HR_1001_1500 noun home
1082;budować;graditi;verb;1. os.: gradim;Grade novu školu u kvartu.;Budują nową szkołę w dzielnicy.;NO;;HR_1001_1500 verb
1083;malować (ścianę);bojati;verb;1. os.: bojim - też: obojiti;Obojili smo zid u bijelo.;Pomalowaliśmy ścianę na biało.;NO;;HR_1001_1500 verb home
1084;wiercić;bušiti;verb;1. os.: bušim;Susjed buši od jutra.;Sąsiad wierci od rana.;NO;;HR_1001_1500 verb home
1085;narzędzie;alat;noun;rodzaj męski - mn. alati;Trebam alat za ovo.;Potrzebuję narzędzia do tego.;NO;;HR_1001_1500 noun
1086;gwóźdź;čavao;noun;rodzaj męski - gen. čavla;Zabij čavao u zid.;Wbij gwóźdź w ścianę.;NO;;HR_1001_1500 noun home
1087;drewno;drvo;noun;rodzaj nijaki - znaczy też drzewo;Kupili smo drvo za zimu.;Kupiliśmy drewno na zimę.;NO;;HR_1001_1500 noun home
1088;żelazo;željezo;noun;rodzaj nijaki;Ograda je od željeza.;Ogrodzenie jest z żelaza.;NO;;HR_1001_1500 noun
1089;szkło;staklo;noun;rodzaj nijaki;Staklo je puknulo.;Szkło pękło.;NO;;HR_1001_1500 noun
1090;plastik;plastika;noun;rodzaj żeński;Plastika se reciklira odvojeno.;Plastik segreguje się osobno.;NO;;HR_1001_1500 noun
1091;materiał;materijal;noun;rodzaj męski;Materijal je vodootporan.;Materiał jest wodoodporny.;NO;;HR_1001_1500 noun
1092;maszyna;stroj;noun;rodzaj męski - mn. strojevi - nie mašina;Stroj radi bez prekida.;Maszyna pracuje bez przerwy.;NO;;HR_1001_1500 noun work
1093;fabryka;tvornica;noun;rodzaj żeński - nie fabrika;Tvornica je zatvorena prošle godine.;Fabrykę zamknięto w zeszłym roku.;NO;;HR_1001_1500 noun work
1094;rolnictwo;poljoprivreda;noun;rodzaj żeński;Poljoprivreda je tu važna.;Rolnictwo jest tu ważne.;NO;;HR_1001_1500 noun work
1095;rolnik;poljoprivrednik;noun;rodzaj męski - też: seljak;Poljoprivrednici prodaju na tržnici.;Rolnicy sprzedają na targu.;NO;;HR_1001_1500 noun work people
1096;winnica;vinograd;noun;rodzaj męski;Imaju vinograd blizu Zadra.;Mają winnicę blisko Zadaru.;NO;;HR_1001_1500 noun
1097;oliwka;maslina;noun;rodzaj żeński - znaczy też drzewo oliwne;Masline beremo u listopadu.;Oliwki zbieramy w październiku.;NO;;HR_1001_1500 noun food
1098;zbierać (owoce);brati;verb;1. os.: berem;Beremo grožđe cijeli dan.;Zbieramy winogrona cały dzień.;NO;;HR_1001_1500 verb food
1099;winogrona;grožđe;noun;rodzaj nijaki - zbiorowe;Grožđe je ove godine slatko.;Winogrona są tego roku słodkie.;NO;;HR_1001_1500 noun food
1100;figa;smokva;noun;rodzaj żeński;Smokve rastu ispred kuće.;Figi rosną przed domem.;NO;;HR_1001_1500 noun food
1101;pomarańcza;naranča;noun;rodzaj żeński - nie pomorandža;Naranče su iz Neretve.;Pomarańcze są z Neretwy.;NO;;HR_1001_1500 noun food
1102;cytryna;limun;noun;rodzaj męski;Stavi limun u čaj.;Włóż cytrynę do herbaty.;NO;;HR_1001_1500 noun food
1103;banan;banana;noun;rodzaj żeński;Pojedi bananu prije treninga.;Zjedz banana przed treningiem.;NO;;HR_1001_1500 noun food
1104;truskawka;jagoda;noun;rodzaj żeński - uwaga na znaczenie;Jagode su sada najbolje.;Truskawki są teraz najlepsze.;YES;jagoda znaczy truskawka - polska jagoda to borovnica;HR_1001_1500 noun food
1105;jagoda (czarna);borovnica;noun;rodzaj żeński;Borovnice su skupe zimi.;Jagody są drogie w zimie.;NO;;HR_1001_1500 noun food
1106;gruszka;kruška;noun;rodzaj żeński;Kruška je prezrela.;Gruszka jest przejrzała.;NO;;HR_1001_1500 noun food
1107;śliwka;šljiva;noun;rodzaj żeński;Iz šljiva se pravi rakija.;Ze śliwek robi się rakiję.;NO;;HR_1001_1500 noun food
1108;arbuz;lubenica;noun;rodzaj żeński;Lubenica je savršena za plažu.;Arbuz jest idealny na plażę.;NO;;HR_1001_1500 noun food
1109;ogórek;krastavac;noun;rodzaj męski - gen. krastavca;Krastavac ide u salatu.;Ogórek idzie do salaty.;NO;;HR_1001_1500 noun food
1110;papryka;paprika;noun;rodzaj żeński;Punjene paprike su specijalitet.;Faszerowane papryki są specjalnością.;NO;;HR_1001_1500 noun food
1111;kapusta;kupus;noun;rodzaj męski;Kupus se dinsta s mesom.;Kapustę duszy się z mięsem.;NO;;HR_1001_1500 noun food
1112;salata;salata;noun;rodzaj żeński - znaczy też surówka;Naruči zelenu salatu.;Zamów zieloną salatę.;NO;;HR_1001_1500 noun food
1113;grzyb;gljiva;noun;rodzaj żeński;Gljive smo brali u šumi.;Grzyby zbieraliśmy w lesie.;NO;;HR_1001_1500 noun food
1114;kurczak;piletina;noun;rodzaj żeński - mięso - ptak: kokoš;Piletina je jeftinija od junetine.;Kurczak jest tańszy od wołowiny.;NO;;HR_1001_1500 noun food
1115;wołowina;junetina;noun;rodzaj żeński;Junetina se dugo kuha.;Wołowina długo się gotuje.;NO;;HR_1001_1500 noun food
1116;wieprzowina;svinjetina;noun;rodzaj żeński;Svinjetinu peku na ražnju.;Wieprzowinę pieką na rożnie.;NO;;HR_1001_1500 noun food
1117;szynka;pršut;noun;rodzaj męski - suszona dalmatyńska;Pršut i sir za predjelo.;Szynka i ser na przystawkę.;NO;;HR_1001_1500 noun food
1118;kiełbasa;kobasica;noun;rodzaj żeński;Kobasice su s domaćeg gospodarstva.;Kiełbasy są z lokalnego gospodarstwa.;NO;;HR_1001_1500 noun food
1119;owoce morza;plodovi mora;noun;rodzaj męski mn.;Plodovi mora su svježi danas.;Owoce morza są dzisiaj świeże.;NO;;HR_1001_1500 noun food
1120;małże;dagnje;noun;rodzaj żeński mn.;Dagnje na buzaru su odlične.;Małże na buzarę są znakomite.;NO;;HR_1001_1500 noun food
1121;kalmary;lignje;noun;rodzaj żeński mn.;Uzet ću pržene lignje.;Wezmę smażone kalmary.;NO;;HR_1001_1500 noun food
1122;świeży;svjež;adjective;ž. svježa;Riba je danas svježa.;Ryba jest dzisiaj świeża.;NO;;HR_1001_1500 adjective food
1123;zepsuty (jedzenie);pokvaren;adjective;ž. pokvarena;Mlijeko je pokvareno.;Mleko jest zepsute.;NO;;HR_1001_1500 adjective food
1124;smażyć;pržiti;verb;1. os.: pržim;Pržim ribu na maslinovom ulju.;Smażę rybę na oliwie.;NO;;HR_1001_1500 verb food
1125;grillować;peći na žaru;phrase;na žaru z grilla;Meso pečemo na žaru.;Mięso pieczemy z grilla.;NO;;HR_1001_1500 food
1126;gotować w wodzie;kuhati u vodi;phrase;;Krumpir kuham u vodi.;Ziemniaki gotuję w wodzie.;NO;;HR_1001_1500 food
1127;wegetariański;vegetarijanski;adjective;ž. vegetarijanska;Imate li vegetarijansko jelo?;Mają państwo danie wegetariańskie?;NO;;HR_1001_1500 adjective food
1128;alergia;alergija;noun;rodzaj żeński;Imam alergiju na orahe.;Mam alergię na orzechy.;NO;;HR_1001_1500 noun food
1129;orzech;orah;noun;rodzaj męski - mn. orasi;Orasi su u kolaču.;Orzechy są w ciastku.;NO;;HR_1001_1500 noun food
1130;czekolada;čokolada;noun;rodzaj żeński;Kupi tamnu čokoladu.;Kup ciemną czekoladę.;NO;;HR_1001_1500 noun food
1131;miód;med;noun;rodzaj męski;Med je bolji od šećera.;Miód jest lepszy od cukru.;NO;;HR_1001_1500 noun food
1132;sok;sok;noun;rodzaj męski - mn. sokovi;Sok od naranče molim.;Sok pomarańczowy proszę.;NO;;HR_1001_1500 noun food
1133;woda mineralna;mineralna voda;noun;gazirana z gazem;Gaziranu ili običnu vodu?;Wodę gazowaną czy zwykłą?;NO;;HR_1001_1500 noun food
1134;wódka;votka;noun;rodzaj żeński - lokalna: rakija;Rakiju piju nakon jela.;Rakiję piją po jedzeniu.;NO;;HR_1001_1500 noun food
1135;kac;mamurluk;noun;rodzaj męski;Jutros imam mamurluk.;Dziś rano mam kaca.;NO;;HR_1001_1500 noun
1136;pijany;pijan;adjective;ž. pijana;Bio je pijan sinoć.;Był pijany wczoraj wieczorem.;NO;;HR_1001_1500 adjective
1137;papieros;cigareta;noun;rodzaj żeński;Ostavio je cigarete u autu.;Zostawił papierosy w samochodzie.;NO;;HR_1001_1500 noun
1138;palić (papierosy);pušiti;verb;1. os.: pušim;Ovdje se ne smije pušiti.;Tutaj nie wolno palić.;NO;;HR_1001_1500 verb
1139;rzucać (nawyk);prestati;verb;1. os.: prestanem + infinitiv;Prestao je pušiti u siječnju.;Rzucił palenie w styczniu.;NO;;HR_1001_1500 verb
1140;kawa z mlekiem;kava s mlijekom;phrase;;Jednu kavu s mlijekom molim.;Jedną kawę z mlekiem proszę.;NO;;HR_1001_1500 food conversation
1141;na wynos;za van;phrase;też: za nošenje;Kavu za van molim.;Kawę na wynos proszę.;NO;;HR_1001_1500 food shopping
1142;usiądźmy;sjednimo;phrase;imperativ 1. os. mn.;Sjednimo vani na terasu.;Usiądźmy na zewnątrz na tarasie.;NO;;HR_1001_1500 conversation
1143;chodźmy;idemo;phrase;;Idemo prije nego počne kiša.;Chodźmy zanim zacznie padać.;NO;;HR_1001_1500 conversation
1144;poczekaj;čekaj;phrase;imperativ - grzeczn. čekajte;Čekaj samo minutu.;Poczekaj tylko minutę.;NO;;HR_1001_1500 conversation
1145;uważaj;pazi;phrase;imperativ od paziti;Pazi stepenica je klizava.;Uważaj stopień jest śliski.;NO;;HR_1001_1500 conversation
1146;śliski;klizav;adjective;ž. klizava;Cesta je klizava od kiše.;Droga jest śliska od deszczu.;NO;;HR_1001_1500 adjective transportation
1147;mokry;mokar;adjective;ž. mokra;Ručnik je još mokar.;Ręcznik jest jeszcze mokry.;NO;;HR_1001_1500 adjective home
1148;suchy;suh;adjective;ž. suha - komp. suši;Rublje je već suho.;Pranie jest już suche.;NO;;HR_1001_1500 adjective home
1149;pranie (rzeczy);rublje;noun;rodzaj nijaki - zbiorowe;Rublje suši na balkonu.;Pranie suszy się na balkonie.;NO;;HR_1001_1500 noun home
1150;chmura;oblak;noun;rodzaj męski - mn. oblaci;Oblaci se skupljaju nad morem.;Chmury zbierają się nad morzem.;NO;;HR_1001_1500 noun
1151;burza;nevrijeme;noun;rodzaj nijaki - gen. nevremena;Nevrijeme dolazi s juga.;Burza przychodzi z południa.;NO;;HR_1001_1500 noun
1152;grzmot;grmljavina;noun;rodzaj żeński;Grmljavina je trajala cijelu noć.;Grzmoty trwały całą noc.;NO;;HR_1001_1500 noun
1153;mgła;magla;noun;rodzaj żeński;Magla je gusta jutros.;Mgła jest gęsta dziś rano.;NO;;HR_1001_1500 noun
1154;upał;vrućina;noun;rodzaj żeński;Vrućina je nepodnošljiva.;Upał jest nieznośny.;NO;;HR_1001_1500 noun
1155;mróz;mraz;noun;rodzaj męski;Noću je bio mraz.;W nocy był mróz.;NO;;HR_1001_1500 noun
1156;prognoza pogody;prognoza;noun;rodzaj żeński;Prognoza obećava sunce.;Prognoza obiecuje słońce.;NO;;HR_1001_1500 noun media
1157;stopień (temperatura);stupanj;noun;rodzaj męski - gen. stupnja - nie stepen;Danas je trideset stupnjeva.;Dzisiaj jest trzydzieści stopni.;NO;;HR_1001_1500 noun numbers
1158;wilgotny;vlažan;adjective;ž. vlažna;Zrak je vlažan uz more.;Powietrze jest wilgotne nad morzem.;NO;;HR_1001_1500 adjective
1159;wiać;puhati;verb;3. os.: puše;Puše jaka bura.;Wieje silna bora.;NO;;HR_1001_1500 verb
1160;cień;sjena;noun;rodzaj żeński;Sjedimo u sjeni.;Siedzimy w cieniu.;NO;;HR_1001_1500 noun travel
1161;krem do opalania;krema za sunčanje;noun;rodzaj żeński;Namaži se kremom za sunčanje.;Posmaruj się kremem do opalania.;NO;;HR_1001_1500 noun travel
1162;opalać się;sunčati se;verb;1. os.: sunčam se;Sunčamo se cijelo jutro.;Opalamy się całe rano.;NO;;HR_1001_1500 verb travel
1163;okulary;naočale;noun;rodzaj żeński mn. - nie naočare;Zaboravio sam naočale.;Zapomniałem okularów.;NO;;HR_1001_1500 noun
1164;kapelusz;šešir;noun;rodzaj męski;Nosi šešir zbog sunca.;Nosi kapelusz z powodu słońca.;NO;;HR_1001_1500 noun
1165;kostium kąpielowy;kupaći kostim;noun;rodzaj męski - potocznie kupaći;Zaboravio sam kupaći.;Zapomniałem kostiumu.;NO;;HR_1001_1500 noun travel
1166;ręcznik plażowy;ručnik za plažu;noun;rodzaj męski;Uzmi ručnik za plažu.;Weź ręcznik plażowy.;NO;;HR_1001_1500 noun travel
1167;kąpać się;kupati se;verb;1. os.: kupam se;Kupamo se u more prije ručka.;Kąpiemy się w morzu przed obiadem.;NO;;HR_1001_1500 verb travel
1168;fala;val;noun;rodzaj męski - mn. valovi;Valovi su danas visoki.;Fale są dzisiaj wysokie.;NO;;HR_1001_1500 noun travel
1169;piasek;pijesak;noun;rodzaj męski - gen. pijeska;Plaža je od pijeska.;Plaża jest z piasku.;NO;;HR_1001_1500 noun travel
1170;kamienista plaża;kamenita plaža;noun;częste w Chorwacji;Plaža je kamenita ali čista.;Plaża jest kamienista ale czysta.;NO;;HR_1001_1500 travel
1171;łódka;čamac;noun;rodzaj męski - gen. čamca;Iznajmili smo čamac na dan.;Wynajęliśmy łódkę na dzień.;NO;;HR_1001_1500 noun travel
1172;statek;brod;noun;rodzaj męski - mn. brodovi;Brod polazi s glavnog pristaništa.;Statek odpływa z głównej przystani.;NO;;HR_1001_1500 noun transportation
1173;port;luka;noun;rodzaj żeński;Luka je puna jahti.;Port jest pełny jachtów.;NO;;HR_1001_1500 noun travel
1174;ryba na grillu;riba na žaru;phrase;;Uzeli smo ribu na žaru.;Wzięliśmy rybę z grilla.;NO;;HR_1001_1500 food
1175;wędkować;loviti ribu;phrase;loviti - lovim;Lovi ribu svako jutro.;Łowi rybę każdego ranka.;NO;;HR_1001_1500 verb
1176;ptak;ptica;noun;rodzaj żeński;Ptice bude cijelo naselje.;Ptaki budzą całe osiedle.;NO;;HR_1001_1500 noun
1177;osiedle;naselje;noun;rodzaj nijaki;Naselje je novo i mirno.;Osiedle jest nowe i spokojne.;NO;;HR_1001_1500 noun home
1178;koń;konj;noun;rodzaj męski - mn. konji;Konji su na pašnjaku.;Konie są na pastwisku.;NO;;HR_1001_1500 noun
1179;krowa;krava;noun;rodzaj żeński;Krave daju mlijeko za sir.;Krowy dają mleko na ser.;NO;;HR_1001_1500 noun
1180;owca;ovca;noun;rodzaj żeński - gen. mn. ovaca;Ovce pasu na otoku.;Owce pasą się na wyspie.;NO;;HR_1001_1500 noun
1181;mucha;muha;noun;rodzaj żeński;Muhe su nepodnošljive ljeti.;Muchy są nieznośne latem.;NO;;HR_1001_1500 noun
1182;komar;komarac;noun;rodzaj męski - gen. komarca;Komarci su me izjeli.;Komary mnie zjadły.;NO;;HR_1001_1500 noun travel
1183;pszczoła;pčela;noun;rodzaj żeński;Pčela me ubola u ruku.;Pszczoła ukąsiła mnie w rękę.;NO;;HR_1001_1500 noun
1184;wąż;zmija;noun;rodzaj żeński;Vidjeli smo zmiju na stazi.;Widzieliśmy węża na ścieżce.;NO;;HR_1001_1500 noun
1185;lew;lav;noun;rodzaj męski - mn. lavovi;Vidjeli smo lava u zoološkom vrtu.;Widzieliśmy lwa w zoo.;NO;;HR_1001_1500 noun
1186;zoo;zoološki vrt;noun;rodzaj męski;Zoološki vrt je pun ljudi.;Zoo jest pełne ludzi.;NO;;HR_1001_1500 noun travel
1187;dziki;divlji;adjective;ž. divlja;Ovdje ima divljih svinja.;Tutaj są dzikie świnie.;NO;;HR_1001_1500 adjective
1188;niebezpieczne zwierzę;opasna životinja;phrase;;To nije opasna životinja.;To nie jest niebezpieczne zwierzę.;NO;;HR_1001_1500 conversation
1189;spacerować z psem;izvesti psa;phrase;izvesti - izvedem;Moram izvesti psa.;Muszę wyprowadzić psa.;NO;;HR_1001_1500 home
1190;karmić;hraniti;verb;1. os.: hranim;Hranim mačku dva puta dnevno.;Karmię kota dwa razy dziennie.;NO;;HR_1001_1500 verb home
1191;dbać o;brinuti o;verb;brinem o + lokativ;Brinem o baki svaki dan.;Dbam o babcię codziennie.;NO;;HR_1001_1500 verb people
1192;opieka;briga;noun;rodzaj żeński - znaczy też troska;Briga o djeci je zahtjevna.;Opieka nad dziećmi jest wymagająca.;NO;;HR_1001_1500 noun people
1193;wymagający;zahtjevan;adjective;ž. zahtjevna;Posao je zahtjevan ali dobar.;Praca jest wymagająca ale dobra.;NO;;HR_1001_1500 adjective work
1194;żłobek;jaslice;noun;rodzaj żeński mn.;Dijete je u jaslicama.;Dziecko jest w żłobku.;NO;;HR_1001_1500 noun people
1195;przedszkole;vrtić;noun;rodzaj męski;Vodim ga u vrtić u osam.;Prowadzę go do przedszkola o ósmej.;NO;;HR_1001_1500 noun people
1196;klasa (szkolna);razred;noun;rodzaj męski - mn. razredi;Ide u treći razred.;Chodzi do trzeciej klasy.;NO;;HR_1001_1500 noun
1197;ocena;ocjena;noun;rodzaj żeński - nie ocena;Dobio je najbolju ocjenu.;Dostał najlepszą ocenę.;NO;;HR_1001_1500 noun
1198;odrabiać lekcje;pisati zadaću;phrase;zadaća praca domowa;Piše zadaću u sobi.;Odrabia lekcje w pokoju.;NO;;HR_1001_1500 conversation
1199;praca domowa;zadaća;noun;rodzaj żeński - nie domaći zadatak;Zadaća je za sutra.;Praca domowa jest na jutro.;NO;;HR_1001_1500 noun
1200;dyplom;diploma;noun;rodzaj żeński;Diploma mu je iz Zagreba.;Dyplom ma z Zagrzebia.;NO;;HR_1001_1500 noun work
1201;rozmowa telefoniczna;telefonski razgovor;noun;rodzaj męski;Telefonski razgovor je trajao sat.;Rozmowa telefoniczna trwała godzinę.;NO;;HR_1001_1500 noun conversation
1202;zostawiać wiadomość;ostaviti poruku;phrase;;Ostavi mi poruku ako ne odgovorim.;Zostaw mi wiadomość jak nie odbiorę.;NO;;HR_1001_1500 conversation
1203;numer wewnętrzny;lokal;noun;rodzaj męski;Lokal sto dvadeset molim.;Numer wewnętrzny sto dwadzieścia proszę.;NO;;HR_1001_1500 noun work
1204;łączyć (telefonicznie);spojiti;verb;1. os.: spojim;Spojit ću vas s direktorom.;Połączę pana z kierownikiem.;NO;;HR_1001_1500 verb work
1205;przekazać wiadomość;prenijeti poruku;phrase;prenijeti - prenesem;Prenesi mu poruku molim te.;Przekaż mu wiadomość proszę.;NO;;HR_1001_1500 conversation
1206;spotkajmy się;nađimo se;phrase;;Nađimo se ispred kina.;Spotkajmy się przed kinem.;NO;;HR_1001_1500 conversation
1207;przed (budynkiem);ispred;preposition;+ genitiv;Čekam ispred zgrade.;Czekam przed budynkiem.;NO;;HR_1001_1500 preposition
1208;za (z tyłu);iza;preposition;+ genitiv;Parkiraj iza kuće.;Zaparkuj za domem.;NO;;HR_1001_1500 preposition
1209;wewnątrz;unutar;preposition;+ genitiv;Unutar zgrade je hladnije.;Wewnątrz budynku jest chłodniej.;NO;;HR_1001_1500 preposition
1210;wzdłuż;uz;preposition;+ akuzativ;Šetamo uz more.;Spacerujemy wzdłuż morza.;NO;;HR_1001_1500 preposition travel
1211;przez (za pomocą);preko;preposition;+ genitiv;Platio sam preko interneta.;Zapłaciłem przez internet.;NO;;HR_1001_1500 preposition
1212;do (osoby);k;preposition;+ dativ - też: kod;Idem k doktoru.;Idę do lekarza.;NO;;HR_1001_1500 preposition
1213;według;prema;preposition;+ dativ - znaczy też w stronę;Prema zakonu to nije dozvoljeno.;Według prawa to nie jest dozwolone.;NO;;HR_1001_1500 preposition
1214;oprócz;osim;preposition;+ genitiv;Svi su došli osim njega.;Wszyscy przyszli oprócz niego.;NO;;HR_1001_1500 preposition
